user_key,cluster_id,dominant_share_known,imputed_country_key,imputed_country_iso,imputed_country_name,imputed_market_currency_code,imputation_method
11073,1,0.1545,197,RU,Rusia,USD,cluster_majority
11084,1,0.1545,197,RU,Rusia,USD,cluster_majority
11090,1,0.1545,197,RU,Rusia,USD,cluster_majority
11095,1,0.1545,197,RU,Rusia,USD,cluster_majority
11096,1,0.1545,197,RU,Rusia,USD,cluster_majority
11097,1,0.1545,197,RU,Rusia,USD,cluster_majority
11098,1,0.1545,197,RU,Rusia,USD,cluster_majority
11100,1,0.1545,197,RU,Rusia,USD,cluster_majority
11102,1,0.1545,197,RU,Rusia,USD,cluster_majority
11103,1,0.1545,197,RU,Rusia,USD,cluster_majority
11114,1,0.1545,197,RU,Rusia,USD,cluster_majority
11116,1,0.1545,197,RU,Rusia,USD,cluster_majority
11126,1,0.1545,197,RU,Rusia,USD,cluster_majority
11131,1,0.1545,197,RU,Rusia,USD,cluster_majority
11133,1,0.1545,197,RU,Rusia,USD,cluster_majority
11137,1,0.1545,197,RU,Rusia,USD,cluster_majority
11144,1,0.1545,197,RU,Rusia,USD,cluster_majority
11145,1,0.1545,197,RU,Rusia,USD,cluster_majority
11147,1,0.1545,197,RU,Rusia,USD,cluster_majority
11149,1,0.1545,197,RU,Rusia,USD,cluster_majority
11151,1,0.1545,197,RU,Rusia,USD,cluster_majority
11154,1,0.1545,197,RU,Rusia,USD,cluster_majority
11156,1,0.1545,197,RU,Rusia,USD,cluster_majority
11158,1,0.1545,197,RU,Rusia,USD,cluster_majority
11159,1,0.1545,197,RU,Rusia,USD,cluster_majority
11163,1,0.1545,197,RU,Rusia,USD,cluster_majority
11164,1,0.1545,197,RU,Rusia,USD,cluster_majority
11166,1,0.1545,197,RU,Rusia,USD,cluster_majority
11168,1,0.1545,197,RU,Rusia,USD,cluster_majority
11172,1,0.1545,197,RU,Rusia,USD,cluster_majority
11174,0,0.0204,29,BR,Brasil,USD,cluster_majority
11177,1,0.1545,197,RU,Rusia,USD,cluster_majority
11178,1,0.1545,197,RU,Rusia,USD,cluster_majority
11184,1,0.1545,197,RU,Rusia,USD,cluster_majority
11188,1,0.1545,197,RU,Rusia,USD,cluster_majority
11192,1,0.1545,197,RU,Rusia,USD,cluster_majority
11193,1,0.1545,197,RU,Rusia,USD,cluster_majority
11200,1,0.1545,197,RU,Rusia,USD,cluster_majority
11206,1,0.1545,197,RU,Rusia,USD,cluster_majority
11208,1,0.1545,197,RU,Rusia,USD,cluster_majority
11211,1,0.1545,197,RU,Rusia,USD,cluster_majority
11215,1,0.1545,197,RU,Rusia,USD,cluster_majority
11220,1,0.1545,197,RU,Rusia,USD,cluster_majority
11231,1,0.1545,197,RU,Rusia,USD,cluster_majority
11232,1,0.1545,197,RU,Rusia,USD,cluster_majority
11236,1,0.1545,197,RU,Rusia,USD,cluster_majority
11239,1,0.1545,197,RU,Rusia,USD,cluster_majority
11240,1,0.1545,197,RU,Rusia,USD,cluster_majority
11249,1,0.1545,197,RU,Rusia,USD,cluster_majority
11251,0,0.0204,29,BR,Brasil,USD,cluster_majority
11253,1,0.1545,197,RU,Rusia,USD,cluster_majority
11254,1,0.1545,197,RU,Rusia,USD,cluster_majority
11257,1,0.1545,197,RU,Rusia,USD,cluster_majority
11258,1,0.1545,197,RU,Rusia,USD,cluster_majority
11260,1,0.1545,197,RU,Rusia,USD,cluster_majority
11263,1,0.1545,197,RU,Rusia,USD,cluster_majority
11265,1,0.1545,197,RU,Rusia,USD,cluster_majority
11266,1,0.1545,197,RU,Rusia,USD,cluster_majority
11267,1,0.1545,197,RU,Rusia,USD,cluster_majority
